"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","0","webkit","registration.spec.js","","","","Check that the error message appears when register with invalid values",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","0","webkit","login.spec.js","","","","Check that the error message appears when login with invalid values",""
"failed","Fri Jul 12 12:42:11 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","1111","chromium","registration.spec.js","","","","Check that the error message appears when register with invalid values",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","0","webkit","search.spec.js","","","","Search for a query",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","1","firefox","search.spec.js","","","","Search for a query",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","1","webkit","registration.spec.js","","","","A long nickname should cause an error",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","1","firefox","login.spec.js","","","","Check that the error message appears when login with invalid values",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","0","webkit","registration.spec.js","","","","Short password should show error message",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","0","firefox","registration.spec.js","","","","Short password should show error message",""
"failed","Fri Jul 12 12:42:11 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","1157","chromium","registration.spec.js","","","","Short password should show error message",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","1","firefox","registration.spec.js","","","","A long nickname should cause an error",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","0","chromium","registration.spec.js","","","","A long nickname should cause an error",""
"failed","Fri Jul 12 12:42:11 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","1120","chromium","login.spec.js","","","","Check that the error message appears when login with invalid values",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","0","firefox","registration.spec.js","","","","Check that the error message appears when register with invalid values",""
"skipped","Fri Jul 12 12:42:13 UTC 2024","Fri Jul 12 12:42:13 UTC 2024","0","chromium","search.spec.js","","","","Search for a query",""
